"virus";"material";"temperature";"humidity";"replicate";"time";"titer"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"8";"177.82794100389242"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"8";"31.622776601683803"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"24";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"24";"17.782794100389236"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"24";"5.6234132519034921"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"48";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"48";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"48";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"72";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"72";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"72";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"96";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"96";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"96";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"120";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"120";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"120";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"144";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"144";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"144";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"168";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"168";"3.1622776601683795"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"168";"3.1622776601683795"
"SARS-CoV-2";"Aerosols";"21-23";"65";"1";"0";"316.22776601683825"
"SARS-CoV-2";"Aerosols";"21-23";"65";"2";"0";"1000"
"SARS-CoV-2";"Aerosols";"21-23";"65";"3";"0";"1000"
"SARS-CoV-2";"Aerosols";"21-23";"65";"1";"0.5";"177.82794100389242"
"SARS-CoV-2";"Aerosols";"21-23";"65";"2";"0.5";"1000"
